div_dpto;dpto;div_mun;municipio;PDET;CATEGORIA
5;Antioquia;5001;Medellín;N/A;ESP
5;Antioquia;5002;Abejorral;N/A;6
5;Antioquia;5004;Abriaquí;N/A;6
5;Antioquia;5021;Alejandría;N/A;6
5;Antioquia;5030;Amagá;N/A;5
5;Antioquia;5031;Amalfi;PDET;6
5;Antioquia;5034;Andes;N/A;6
5;Antioquia;5036;Angelópolis;N/A;6
5;Antioquia;5038;Angostura;N/A;6
5;Antioquia;5040;Anorí;PDET;6
5;Antioquia;5042;Santafé de Antioquia;N/A;5
5;Antioquia;5044;Anzá;N/A;6
5;Antioquia;5045;Apartadó;PDET;3
5;Antioquia;5051;Arboletes;N/A;6
5;Antioquia;5055;Argelia;N/A;6
5;Antioquia;5059;Armenia;N/A;6
5;Antioquia;5079;Barbosa;N/A;5
5;Antioquia;5086;Belmira;N/A;6
5;Antioquia;5088;Bello;N/A;1
5;Antioquia;5091;Betania;N/A;6
5;Antioquia;5093;Betulia;N/A;6
5;Antioquia;5101;Ciudad Bolívar;N/A;6
5;Antioquia;5107;Briceño;PDET;6
5;Antioquia;5113;Buriticá;N/A;6
5;Antioquia;5120;Cáceres;PDET;6
5;Antioquia;5125;Caicedo;N/A;6
5;Antioquia;5129;Caldas;N/A;3
5;Antioquia;5134;Campamento;N/A;6
5;Antioquia;5138;Cañasgordas;N/A;6
5;Antioquia;5142;Caracolí;N/A;6
5;Antioquia;5145;Caramanta;N/A;6
5;Antioquia;5147;Carepa;PDET;6
5;Antioquia;5148;El Carmen de Viboral;N/A;3
5;Antioquia;5150;Carolina;N/A;6
5;Antioquia;5154;Caucasia;PDET;5
5;Antioquia;5172;Chigorodó;PDET;6
5;Antioquia;5190;Cisneros;N/A;6
5;Antioquia;5197;Cocorná;N/A;6
5;Antioquia;5206;Concepción;N/A;6
5;Antioquia;5209;Concordia;N/A;6
5;Antioquia;5212;Copacabana;N/A;3
5;Antioquia;5234;Dabeiba;PDET;6
5;Antioquia;5237;Donmatías;N/A;6
5;Antioquia;5240;Ebéjico;N/A;6
5;Antioquia;5250;El Bagre;PDET;6
5;Antioquia;5264;Entrerríos;N/A;6
5;Antioquia;5266;Envigado;N/A;1
5;Antioquia;5282;Fredonia;N/A;6
5;Antioquia;5284;Frontino;N/A;6
5;Antioquia;5306;Giraldo;N/A;6
5;Antioquia;5308;Girardota;N/A;3
5;Antioquia;5310;Gómez Plata;N/A;6
5;Antioquia;5313;Granada;N/A;6
5;Antioquia;5315;Guadalupe;N/A;6
5;Antioquia;5318;Guarne;N/A;2
5;Antioquia;5321;Guatapé;N/A;6
5;Antioquia;5347;Heliconia;N/A;6
5;Antioquia;5353;Hispania;N/A;6
5;Antioquia;5360;Itagüí;N/A;1
5;Antioquia;5361;Ituango;PDET;6
5;Antioquia;5364;Jardín;N/A;6
5;Antioquia;5368;Jericó;N/A;6
5;Antioquia;5376;La Ceja;N/A;3
5;Antioquia;5380;La Estrella;N/A;2
5;Antioquia;5390;La Pintada;N/A;6
5;Antioquia;5400;La Unión;N/A;6
5;Antioquia;5411;Liborina;N/A;6
5;Antioquia;5425;Maceo;N/A;6
5;Antioquia;5440;Marinilla;N/A;3
5;Antioquia;5467;Montebello;N/A;6
5;Antioquia;5475;Murindó;PDET;6
5;Antioquia;5480;Mutatá;PDET;6
5;Antioquia;5483;Nariño;N/A;6
5;Antioquia;5490;Necoclí;PDET;6
5;Antioquia;5495;Nechí;PDET;6
5;Antioquia;5501;Olaya;N/A;6
5;Antioquia;5541;Peñol;N/A;6
5;Antioquia;5543;Peque;N/A;6
5;Antioquia;5576;Pueblorrico;N/A;6
5;Antioquia;5579;Puerto Berrío;N/A;6
5;Antioquia;5585;Puerto Nare;N/A;6
5;Antioquia;5591;Puerto Triunfo;N/A;6
5;Antioquia;5604;Remedios;PDET;5
5;Antioquia;5607;Retiro;N/A;3
5;Antioquia;5615;Rionegro;N/A;1
5;Antioquia;5628;Sabanalarga;N/A;6
5;Antioquia;5631;Sabaneta;N/A;1
5;Antioquia;5642;Salgar;N/A;6
5;Antioquia;5647;San Andrés de Cuerquía;N/A;6
5;Antioquia;5649;San Carlos;N/A;6
5;Antioquia;5652;San Francisco;N/A;6
5;Antioquia;5656;San Jerónimo;N/A;6
5;Antioquia;5658;San José de La Montaña;N/A;6
5;Antioquia;5659;San Juan de Urabá;N/A;6
5;Antioquia;5660;San Luis;N/A;6
5;Antioquia;5664;San Pedro de Los Milagros;N/A;6
5;Antioquia;5665;San Pedro de Urabá;PDET;6
5;Antioquia;5667;San Rafael;N/A;6
5;Antioquia;5670;San Roque;N/A;6
5;Antioquia;5674;San Vicente;N/A;6
5;Antioquia;5679;Santa Bárbara;N/A;6
5;Antioquia;5686;Santa Rosa de Osos;N/A;5
5;Antioquia;5690;Santo Domingo;N/A;6
5;Antioquia;5697;El Santuario;N/A;6
5;Antioquia;5736;Segovia;PDET;3
5;Antioquia;5756;Sonsón;N/A;5
5;Antioquia;5761;Sopetrán;N/A;6
5;Antioquia;5789;Támesis;N/A;6
5;Antioquia;5790;Tarazá;PDET;6
5;Antioquia;5792;Tarso;N/A;6
5;Antioquia;5809;Titiribí;N/A;6
5;Antioquia;5819;Toledo;N/A;6
5;Antioquia;5837;Turbo;PDET;4
5;Antioquia;5842;Uramita;N/A;6
5;Antioquia;5847;Urrao;N/A;6
5;Antioquia;5854;Valdivia;PDET;6
