div_mun;Proy
99773;80837
99624;4297
99524;9846
99001;20798
97889;1211
97777;857
97666;2647
97511;4881
97161;3498
97001;35838
95200;7346
95025;14306
95015;10499
95001;58206
94888;970
94887;2028
94886;911
94885;299
94884;2001
94883;1758
94663;0
94343;9131
94001;34963
91798;4005
91669;1801
91540;10705
91536;1059
91530;784
91460;1910
91430;673
91407;4013
91405;3004
91263;2111
91001;52003
88564;6411
8849;13538
8832;19415
88001;58817
8770;12949
8758;685106
86885;24759
86865;35621
8685;32960
86760;7509
8675;17617
86757;19973
86755;5720
86749;15902
86573;30312
86571;37682
86569;16448
86568;69074
8638;103050
8634;36144
86320;39810
86219;5682
8606;28945
86001;60572
8573;55269
8560;26505
8558;20135
8549;7302
85440;36752
85430;13660
85410;25573
85400;6670
85325;8477
85315;2091
85300;3625
85279;1825
85263;12248
85250;37933
85230;12851
85225;8850
8520;31969
85162;18292
85139;17737
85136;1390
85125;12298
85015;2676
85010;38607
85001;180513
8436;22090
8433;143781
8421;31230
8372;23439
8296;69045
81794;50754
81736;65314
81591;5098
8141;17714
8137;24274
81300;20883
81220;4294
81065;58270
81001;100365
8078;69075
8001;1312473
76895;42940
76892;111474
76890;16400
76869;13046
76863;7037
76845;5449
76834;221604
76828;19220
76823;14570
76736;41670
76670;17420
76622;37248
76616;15657
76606;15496
76563;48770
76520;358806
76497;12193
76403;12016
76400;34933
76377;16716
76364;169280
76318;34000
76306;23340
76275;58689
76250;8724
76248;57851
76246;6588
76243;8670
76233;49631
76147;139026
76130;95413
76126;18495
76122;28879
76113;24772
76111;130564
76109;315743
76100;15911
76054;5242
76041;17533
76036;22878
76020;14477
76001;2280907
73873;4985
73870;9233
73861;12787
73854;5387
73770;3791
73686;5702
73678;13519
73675;12634
73671;14546
73624;21600
73622;5507
73616;22732
73585;23657
73563;8458
73555;25930
73547;6796
73520;9866
73504;34494
73483;14746
73461;4164
73449;37880
73443;38535
73411;36414
73408;18711
73352;11953
73349;24666
73347;7250
73319;32938
73283;31349
73275;28766
73270;7423
73268;71383
73236;8226
73226;8414
73217;22604
73200;8364
73168;51005
73152;6329
73148;10503
73124;18535
73067;19214
73055;12099
73043;10057
73030;6594
73026;8759
73024;4481
73001;543949
70823;22828
70820;34943
70771;31560
70742;32675
70717;19675
70713;52346
70708;62044
70702;14534
70678;30495
70670;50010
70523;15423
70508;24003
70473;16245
70429;39233
70418;24462
70400;13311
70265;19055
70235;23805
70233;10694
70230;4715
70221;19992
70215;72582
70204;8943
70124;16419
70110;11232
70001;301126
68895;9746
68872;8132
68867;2209
68861;25693
68855;6455
68820;7865
68780;4062
68773;7197
68770;10349
68755;34267
68745;10418
68720;3475
68705;2494
68689;34224
68686;2525
68684;4370
68682;2249
68679;60804
68673;3028
68669;8758
68655;35212
68615;27571
68575;34849
68573;8169
68572;15123
68549;5486
68547;186435
68533;4961
68524;2675
68522;1433
68502;4159
68500;11385
68498;5919
68468;4183
68464;10847
68444;5130
68432;22079
68425;2144
68418;15068
68406;45008
68397;5009
68385;10787
68377;6294
68370;1361
68368;3402
68344;2415
68327;5409
68324;4270
68322;2458
68320;4552
68318;6020
68307;175170
68298;4088
68296;2945
68276;313745
68271;5694
68266;3510
68264;2632
68255;14302
68250;5610
68245;2124
68235;22230
68229;13535
68217;5118
68211;3769
68209;3356
68207;5865
68190;35056
68179;5189
68176;2920
68169;2942
68167;12503
68162;7063
68160;2063
68152;4339
68147;5582
68132;2274
68121;2059
68101;11186
68092;6175
68081;214689
68079;11018
68077;33273
68051;8646
68020;4418
68013;1902
68001;618967
66687;12649
66682;80760
66594;27746
66572;16734
66456;17555
66440;17005
66400;28465
66383;7554
66318;12319
66170;227696
66088;25135
66075;6406
66045;12432
66001;485373
63690;9772
63594;31931
63548;5251
63470;38469
63401;35692
63302;7636
63272;12570
63212;5884
63190;29802
63130;76803
63111;3208
63001;312551
5895;26510
5893;20741
5890;24239
5887;44009
5885;7921
5873;9717
5861;12080
5858;12414
5856;6674
5854;14542
5847;31839
5842;7114
5837;134278
5819;5200
5809;11053
5792;6425
5790;28868
5789;16706
5761;15996
5756;37767
5736;40607
5697;37747
5690;12708
5686;39058
5679;28034
5674;23170
5670;22271
5667;16151
5665;33150
5664;23603
5660;13532
5659;21608
5658;3882
5656;16520
5652;6074
5649;16304
5647;7508
5642;18831
5631;90743
5628;9567
5615;147484
5607;25534
5604;30559
5591;19566
5585;14890
5579;41983
5576;9007
5543;8543
5541;22448
5501;3274
5495;28213
5490;45503
54874;113384
54871;5403
5483;10257
54820;16634
54810;59845
5480;14838
54800;18008
5475;5398
54743;6670
54720;27312
54680;3737
5467;6848
54673;7939
54670;12405
54660;10931
54599;6459
54553;9439
54520;5903
54518;54930
54498;131784
54480;4617
54418;4270
5440;70024
54405;99081
54398;8155
54385;12610
54377;6699
54347;7465
54344;10804
54313;7840
54261;29955
5425;8505
54250;22346
54245;14309
54239;4903
54223;8636
54206;20019
54174;12629
54172;19219
54128;11410
54125;2969
5411;10405
54109;6739
54099;9014
54051;10246
5400;23094
54003;34574
54001;791986
5390;8726
5380;77888
5376;70470
5368;14133
5364;15293
5361;28656
5360;299098
5353;5765
5347;5563
5321;8981
5318;59985
5315;6873
5313;10069
5310;10230
5308;56148
5306;5929
52885;10967
5284;21346
52838;44614
52835;257326
5282;25526
52788;13333
52786;17897
52720;7238
52699;11086
52696;13253
52694;6826
52693;14806
52687;18415
52685;9179
52683;19787
52678;27766
5266;249800
5264;12096
52621;12708
52612;20078
52585;17234
52573;8372
