ano;sum;proyeccion;tasa;porcentaje
2023;7630;52156254;14.629118111128149;4.341097620646101
2022;13442;51609474;26.045605502586596;7.647841968115975
2021;13873;51049498;27.175585546404395;7.89305993331892
2020;13953;50372424;27.699679491302625;7.938576028948237
2019;12656;49395678;25.621674835599986;7.200646328557935
2018;12667;48258494;26.24822896462538;7.206904791706966
2017;12079;47419200;25.472804264939096;6.872361488831488
2016;12164;46830116;25.974738136459024;6.920722340437638
2015;12460;46313898;26.903371424275278;7.08913189426611
2014;12958;45866010;28.25185796628048;7.372469589558607
2013;14971;45434942;32.95041072133425;8.517768345831294
2012;16033;45001571;35.62764508821259;9.121994515310476
2011;15803;44553416;35.46978305771212;8.99113574037619
2010;5073;44086292;11.506978178160232;2.8862894140940587
