Lugar;Metrica;Violencia;Fuente;Año;Valor;Población;Tasa;Porcentaje;CambioConteo;CambioCasos;CambioCasosPor
Colombia;Conteo;Homicidios;Policía Nacional;2023;9958;52156254;19.092628853291497;5.591554831826604;Menor;3484.0;25.91876208897486
Colombia;Conteo;Homicidios;Policía Nacional;2022;13442;51609474;26.0456055025866;7.547869054972205;Menor;431.0;3.106754126720972
Colombia;Conteo;Homicidios;Policía Nacional;2021;13873;51049498;27.175585546404395;7.789881520579482;Menor;80.0;0.5733534007023593
Colombia;Conteo;Homicidios;Policía Nacional;2020;13953;50372424;27.699679491302625;7.834802627884778;Mayor;1297.0;10.248103666245271
Colombia;Conteo;Homicidios;Policía Nacional;2019;12656;49395678;25.621674835599983;7.106519175697682;Menor;11.0;0.08683982000474089
Colombia;Conteo;Homicidios;Policía Nacional;2018;12667;48258494;26.24822896462538;7.112695827952159;Mayor;588.0;4.867952645086504
Colombia;Conteo;Homicidios;Policía Nacional;2017;12079;47419200;25.472804264939096;6.78252568925824;Menor;85.0;0.6987832949687629
Colombia;Conteo;Homicidios;Policía Nacional;2016;12164;46830116;25.974738136459024;6.8302543657701165;Menor;296.0;2.375601926163725
Colombia;Conteo;Homicidios;Policía Nacional;2015;12460;46313898;26.90337142427528;6.996462462799707;Menor;498.0;3.84318567680198
Colombia;Conteo;Homicidios;Policía Nacional;2014;12958;45866010;28.25185796628048;7.27609635577517;Menor;2013.0;13.445995591476859
Colombia;Conteo;Homicidios;Policía Nacional;2013;14971;45434942;32.95041072133425;8.406423718344659;Menor;1062.0;6.623838333437277
Colombia;Conteo;Homicidios;Policía Nacional;2012;16033;45001571;35.62764508821259;9.002751417822449;Mayor;230.0;1.455419856989181
Colombia;Conteo;Homicidios;Policía Nacional;2011;15803;44553416;35.46978305771212;8.873603234319726;Mayor;10730.0;211.51192588212103
Colombia;Conteo;Homicidios;Policía Nacional;2010;5073;44086292;11.506978178160232;2.8485597169970243;Igual;;
