DEPARTAMENTO;MUNICIPIO;AÑO;CONCAT;CODIGO_DANE;CASOS;POBLACIÓN;TASA;PORCENTAJE;Mun_Dep;CAMBIO;CamPORC;CAMBIOConteo;CamCasos;CamCasosPorc;PDET;CATEGORIA
NACIONAL;NACIONAL;2023;99999-2023;99999;7630;52156254;14.629118111128149;4.341097620646101;NACIONAL-NACIONAL;Menor;43.832681833120276;Menor;5812.0;43.237613450379406;N/A;
NACIONAL;NACIONAL;2022;99999-2022;99999;13442;51609474;26.0456055025866;7.647841968115975;NACIONAL-NACIONAL;Menor;4.15807063986999;Menor;431.0;3.106754126720972;N/A;
NACIONAL;NACIONAL;2021;99999-2021;99999;13873;51049498;27.175585546404395;7.89305993331892;NACIONAL-NACIONAL;Menor;1.892057794613791;Menor;80.0;0.5733534007023593;N/A;
NACIONAL;NACIONAL;2020;99999-2020;99999;13953;50372424;27.699679491302625;7.938576028948237;NACIONAL-NACIONAL;Mayor;8.110338879234249;Mayor;1297.0;10.248103666245257;N/A;
NACIONAL;NACIONAL;2019;99999-2019;99999;12656;49395678;25.621674835599983;7.200646328557935;NACIONAL-NACIONAL;Menor;2.3870339209163376;Menor;11.0;0.08683982000474089;N/A;
NACIONAL;NACIONAL;2018;99999-2018;99999;12667;48258494;26.24822896462538;7.206904791706966;NACIONAL-NACIONAL;Mayor;3.0441277356870415;Mayor;588.0;4.867952645086518;N/A;
NACIONAL;NACIONAL;2017;99999-2017;99999;12079;47419200;25.472804264939096;6.872361488831488;NACIONAL-NACIONAL;Menor;1.9323924225260924;Menor;85.0;0.6987832949687629;N/A;
NACIONAL;NACIONAL;2016;99999-2016;99999;12164;46830116;25.974738136459024;6.920722340437638;NACIONAL-NACIONAL;Menor;3.4517357440872303;Menor;296.0;2.375601926163725;N/A;
NACIONAL;NACIONAL;2015;99999-2015;99999;12460;46313898;26.90337142427528;7.08913189426611;NACIONAL-NACIONAL;Menor;4.7730897685194975;Menor;498.0;3.84318567680198;N/A;
NACIONAL;NACIONAL;2014;99999-2014;99999;12958;45866010;28.25185796628048;7.372469589558607;NACIONAL-NACIONAL;Menor;14.25946642908346;Menor;2013.0;13.445995591476859;N/A;
NACIONAL;NACIONAL;2013;99999-2013;99999;14971;45434942;32.95041072133425;8.517768345831294;NACIONAL-NACIONAL;Menor;7.514485900624678;Menor;1062.0;6.623838333437291;N/A;
