departamento;ano;casos;proyeccion;tasa;CambioConteo;CambioCasos;CambioCasosPor
ARAUCA;2023;89;308301;28.867892092468075;Menor;267.0;75.0
ARAUCA;2022;356;304978;116.72973132488244;Mayor;171.0;92.43243243243242
ARAUCA;2021;185;301270;61.40671158761244;Mayor;70.0;60.86956521739131
ARAUCA;2020;115;294206;39.08825788733064;Menor;45.0;28.125
ARAUCA;2019;160;280109;57.1206209011492;Mayor;32.0;25.0
ARAUCA;2018;128;262174;48.8225377039676;Mayor;43.0;50.58823529411765
ARAUCA;2017;85;250502;33.931864815450574;Menor;2.0;2.2988505747126453
ARAUCA;2016;87;244206;35.62566030318665;Mayor;5.0;6.097560975609753
ARAUCA;2015;82;239772;34.199155864738174;Menor;61.0;42.65734265734266
ARAUCA;2014;143;236931;60.355124487720055;Mayor;22.0;18.181818181818187
ARAUCA;2013;121;234529;51.592766779374834;Menor;34.0;21.935483870967744
ARAUCA;2012;155;232316;66.71946831040479;Mayor;30.0;24.0
ARAUCA;2011;125;230349;54.26548411323687;Mayor;70.0;127.27272727272728
ARAUCA;2010;55;228513;24.06865254930792;NA;NA;NA
NARIÑO;2023;237;1631117;14.529920293884498;Menor;297.0;55.61797752808989
NARIÑO;2022;534;1629181;32.777205233795385;Menor;41.0;7.1304347826087024
NARIÑO;2021;575;1627386;35.33273605647339;Menor;71.0;10.990712074303403
NARIÑO;2020;646;1627589;39.69060985297885;Mayor;74.0;12.937062937062933
NARIÑO;2019;572;1628981;35.11397616055682;Menor;71.0;11.041990668740283
NARIÑO;2018;643;1630592;39.43353088939477;Mayor;99.0;18.19852941176471
NARIÑO;2017;544;1621984;33.53917177974628;Mayor;93.0;20.620842572062088
NARIÑO;2016;451;1615767;27.912440345668653;Mayor;3.0;0.6696428571428612
NARIÑO;2015;448;1608726;27.848123297565905;Menor;32.0;6.666666666666671
NARIÑO;2014;480;1601466;29.97253766236685;Menor;117.0;19.597989949748737
NARIÑO;2013;597;1594354;37.444632747808825;Menor;74.0;11.028315946348727
NARIÑO;2012;671;1586945;42.28249876334719;Mayor;80.0;13.536379018612521
NARIÑO;2011;591;1578559;37.439208797390535;Mayor;371.0;168.63636363636363
NARIÑO;2010;220;1569413;14.017979970855349;NA;NA;NA
BOGOTÁ D.C. (CT);2023;618;7968095;7.7559316248112;Menor;389.0;38.629592850049654
BOGOTÁ D.C. (CT);2022;1007;7901653;12.744168846695748;Menor;135.0;11.821366024518383
BOGOTÁ D.C. (CT);2021;1142;7834167;14.577172020969172;Menor;55.0;4.594820384294067
BOGOTÁ D.C. (CT);2020;1197;7743955;15.457217920300414;Mayor;145.0;13.783269961977183
BOGOTÁ D.C. (CT);2019;1052;7592871;13.855101713172791;Menor;12.0;1.127819548872182
BOGOTÁ D.C. (CT);2018;1064;7412566;14.3540037282636;Menor;73.0;6.420404573438873
BOGOTÁ D.C. (CT);2017;1137;7337449;15.495848761606384;Menor;129.0;10.189573459715646
BOGOTÁ D.C. (CT);2016;1266;7300918;17.340285153182105;Menor;78.0;5.803571428571431
BOGOTÁ D.C. (CT);2015;1344;7273265;18.478633736018143;Mayor;8.0;0.5988023952095745
BOGOTÁ D.C. (CT);2014;1336;7252949;18.42009367500033;Mayor;67.0;5.2797478329393215
BOGOTÁ D.C. (CT);2013;1269;7228427;17.555686735163818;Mayor;2.0;0.15785319652722762
BOGOTÁ D.C. (CT);2012;1267;7195980;17.60705282671714;Menor;371.0;22.649572649572647
BOGOTÁ D.C. (CT);2011;1638;7152656;22.900584062759343;Mayor;1184.0;260.79295154185024
