div_dpto;departamento;div_mun;municipio;casos;mes;ano
5;Antioquia;5002;Abejorral;3;Enero - Septiembre;2022
54;Norte de Santander;54003;Ábrego;12;Enero - Septiembre;2022
50;Meta;50006;Acacías;8;Enero - Septiembre;2022
27;Chocó;27006;Acandí;9;Enero - Septiembre;2022
41;Huila;41006;Acevedo;10;Enero - Septiembre;2022
13;Bolívar;13006;Achí;1;Enero - Septiembre;2022
20;Cesar;20011;Aguachica;25;Enero - Septiembre;2022
68;Santander;68013;Aguada;1;Enero - Septiembre;2022
17;Caldas;17013;Aguadas;1;Enero - Septiembre;2022
85;Casanare;85010;Aguazul;6;Enero - Septiembre;2022
20;Cesar;20013;Agustín Codazzi;11;Enero - Septiembre;2022
41;Huila;41016;Aipe;1;Enero - Septiembre;2022
52;Nariño;52019;Albán;1;Enero - Septiembre;2022
18;Caquetá;18029;Albania;4;Enero - Septiembre;2022
44;La Guajira;44035;Albania;1;Enero - Septiembre;2022
68;Santander;68020;Albania;1;Enero - Septiembre;2022
76;Valle del Cauca;76020;Alcalá;12;Enero - Septiembre;2022
47;Magdalena;47030;Algarrobo;5;Enero - Septiembre;2022
41;Huila;41020;Algeciras;6;Enero - Septiembre;2022
19;Cauca;19022;Almaguer;4;Enero - Septiembre;2022
73;Tolima;73024;Alpujarra;1;Enero - Septiembre;2022
27;Chocó;27025;Alto Baudó;3;Enero - Septiembre;2022
73;Tolima;73026;Alvarado;1;Enero - Septiembre;2022
5;Antioquia;5030;Amagá;7;Enero - Septiembre;2022
5;Antioquia;5031;Amalfi;9;Enero - Septiembre;2022
73;Tolima;73030;Ambalema;5;Enero - Septiembre;2022
52;Nariño;52036;Ancuya;2;Enero - Septiembre;2022
76;Valle del Cauca;76036;Andalucía;3;Enero - Septiembre;2022
5;Antioquia;5034;Andes;17;Enero - Septiembre;2022
5;Antioquia;5036;Angelópolis;1;Enero - Septiembre;2022
5;Antioquia;5038;Angostura;12;Enero - Septiembre;2022
25;Cundinamarca;25040;Anolaima;1;Enero - Septiembre;2022
5;Antioquia;5040;Anorí;21;Enero - Septiembre;2022
17;Caldas;17042;Anserma;3;Enero - Septiembre;2022
76;Valle del Cauca;76041;Ansermanuevo;35;Enero - Septiembre;2022
73;Tolima;73043;Anzoátegui;3;Enero - Septiembre;2022
5;Antioquia;5045;Apartadó;39;Enero - Septiembre;2022
66;Risaralda;66045;Apía;1;Enero - Septiembre;2022
15;Boyacá;15047;Aquitania;1;Enero - Septiembre;2022
47;Magdalena;47053;Aracataca;11;Enero - Septiembre;2022
17;Caldas;17050;Aranzazu;2;Enero - Septiembre;2022
68;Santander;68051;Aratoca;1;Enero - Septiembre;2022
81;Arauca;81001;Arauca;32;Enero - Septiembre;2022
81;Arauca;81065;Arauquita;43;Enero - Septiembre;2022
5;Antioquia;5051;Arboletes;2;Enero - Septiembre;2022
13;Bolívar;13042;Arenal;2;Enero - Septiembre;2022
5;Antioquia;5055;Argelia;8;Enero - Septiembre;2022
19;Cauca;19050;Argelia;31;Enero - Septiembre;2022
47;Magdalena;47058;Ariguaní;11;Enero - Septiembre;2022
13;Bolívar;13052;Arjona;8;Enero - Septiembre;2022
5;Antioquia;5059;Armenia;1;Enero - Septiembre;2022
63;Quindio;63001;Armenia;57;Enero - Septiembre;2022
73;Tolima;73055;Armero;5;Enero - Septiembre;2022
20;Cesar;20032;Astrea;2;Enero - Septiembre;2022
73;Tolima;73067;Ataco;3;Enero - Septiembre;2022
27;Chocó;27050;Atrato;3;Enero - Septiembre;2022
23;Córdoba;23068;Ayapel;2;Enero - Septiembre;2022
27;Chocó;27075;Bahía Solano;4;Enero - Septiembre;2022
19;Cauca;19075;Balboa;14;Enero - Septiembre;2022
41;Huila;41078;Baraya;5;Enero - Septiembre;2022
52;Nariño;52079;Barbacoas;18;Enero - Septiembre;2022
5;Antioquia;5079;Barbosa;15;Enero - Septiembre;2022
68;Santander;68077;Barbosa;1;Enero - Septiembre;2022
50;Meta;50110;Barranca de Upía;1;Enero - Septiembre;2022
68;Santander;68081;Barrancabermeja;54;Enero - Septiembre;2022
44;La Guajira;44078;Barrancas;3;Enero - Septiembre;2022
13;Bolívar;13074;Barranco de Loba;1;Enero - Septiembre;2022
8;Atlántico;8001;Barranquilla;270;Enero - Septiembre;2022
20;Cesar;20045;Becerril;4;Enero - Septiembre;2022
17;Caldas;17088;Belalcázar;1;Enero - Septiembre;2022
18;Caquetá;18094;Belén de Los Andaquíes;1;Enero - Septiembre;2022
66;Risaralda;66088;Belén de Umbría;3;Enero - Septiembre;2022
5;Antioquia;5088;Bello;38;Enero - Septiembre;2022
5;Antioquia;5086;Belmira;2;Enero - Septiembre;2022
15;Boyacá;15090;Berbeo;1;Enero - Septiembre;2022
5;Antioquia;5091;Betania;3;Enero - Septiembre;2022
5;Antioquia;5093;Betulia;4;Enero - Septiembre;2022
54;Norte de Santander;54099;Bochalema;1;Enero - Septiembre;2022
11;Bogotá. D.C.;11001;Bogotá. D.C.;740;Enero - Septiembre;2022
25;Cundinamarca;25099;Bojacá;1;Enero - Septiembre;2022
27;Chocó;27099;Bojayá;1;Enero - Septiembre;2022
19;Cauca;19100;Bolívar;15;Enero - Septiembre;2022
68;Santander;68101;Bolívar;1;Enero - Septiembre;2022
76;Valle del Cauca;76100;Bolívar;3;Enero - Septiembre;2022
20;Cesar;20060;Bosconia;15;Enero - Septiembre;2022
5;Antioquia;5107;Briceño;11;Enero - Septiembre;2022
68;Santander;68001;Bucaramanga;79;Enero - Septiembre;2022
54;Norte de Santander;54109;Bucarasica;3;Enero - Septiembre;2022
76;Valle del Cauca;76109;Buenaventura;100;Enero - Septiembre;2022
23;Córdoba;23079;Buenavista;2;Enero - Septiembre;2022
63;Quindio;63111;Buenavista;1;Enero - Septiembre;2022
19;Cauca;19110;Buenos Aires;30;Enero - Septiembre;2022
52;Nariño;52110;Buesaco;3;Enero - Septiembre;2022
76;Valle del Cauca;76113;Bugalagrande;10;Enero - Septiembre;2022
5;Antioquia;5113;Buriticá;7;Enero - Septiembre;2022
50;Meta;50124;Cabuyaro;4;Enero - Septiembre;2022
5;Antioquia;5120;Cáceres;17;Enero - Septiembre;2022
25;Cundinamarca;25123;Cachipay;2;Enero - Septiembre;2022
54;Norte de Santander;54128;Cáchira;5;Enero - Septiembre;2022
5;Antioquia;5125;Caicedo;3;Enero - Septiembre;2022
76;Valle del Cauca;76122;Caicedonia;10;Enero - Septiembre;2022
73;Tolima;73124;Cajamarca;2;Enero - Septiembre;2022
19;Cauca;19130;Cajibío;6;Enero - Septiembre;2022
25;Cundinamarca;25126;Cajicá;2;Enero - Septiembre;2022
13;Bolívar;13140;Calamar;3;Enero - Septiembre;2022
95;Guaviare;95015;Calamar;5;Enero - Septiembre;2022
63;Quindio;63130;Calarcá;16;Enero - Septiembre;2022
5;Antioquia;5129;Caldas;11;Enero - Septiembre;2022
15;Boyacá;15131;Caldas;1;Enero - Septiembre;2022
19;Cauca;19137;Caldono;24;Enero - Septiembre;2022
76;Valle del Cauca;76001;Cali;719;Enero - Septiembre;2022
76;Valle del Cauca;76126;Calima;3;Enero - Septiembre;2022
19;Cauca;19142;Caloto;21;Enero - Septiembre;2022
5;Antioquia;5134;Campamento;5;Enero - Septiembre;2022
41;Huila;41132;Campoalegre;15;Enero - Septiembre;2022
76;Valle del Cauca;76130;Candelaria;43;Enero - Septiembre;2022
13;Bolívar;13160;Cantagallo;5;Enero - Septiembre;2022
5;Antioquia;5138;Cañasgordas;8;Enero - Septiembre;2022
25;Cundinamarca;25151;Cáqueza;2;Enero - Septiembre;2022
5;Antioquia;5142;Caracolí;1;Enero - Septiembre;2022
5;Antioquia;5145;Caramanta;2;Enero - Septiembre;2022
5;Antioquia;5147;Carepa;9;Enero - Septiembre;2022
25;Cundinamarca;25154;Carmen de Carupa;2;Enero - Septiembre;2022
13;Bolívar;13001;Cartagena de Indias;265;Enero - Septiembre;2022
18;Caquetá;18150;Cartagena del Chairá;15;Enero - Septiembre;2022
76;Valle del Cauca;76147;Cartago;73;Enero - Septiembre;2022
97;Vaupés;97161;Carurú;1;Enero - Septiembre;2022
73;Tolima;73152;Casabianca;3;Enero - Septiembre;2022
50;Meta;50150;Castilla la Nueva;4;Enero - Septiembre;2022
5;Antioquia;5154;Caucasia;40;Enero - Septiembre;2022
23;Córdoba;23162;Cereté;35;Enero - Septiembre;2022
68;Santander;68162;Cerrito;1;Enero - Septiembre;2022
52;Nariño;52240;Chachagüí;1;Enero - Septiembre;2022
25;Cundinamarca;25168;Chaguaní;1;Enero - Septiembre;2022
73;Tolima;73168;Chaparral;14;Enero - Septiembre;2022
68;Santander;68167;Charalá;1;Enero - Septiembre;2022
25;Cundinamarca;25175;Chía;4;Enero - Septiembre;2022
47;Magdalena;47170;Chibolo;5;Enero - Septiembre;2022
5;Antioquia;5172;Chigorodó;15;Enero - Septiembre;2022
23;Córdoba;23168;Chimá;7;Enero - Septiembre;2022
20;Cesar;20175;Chimichagua;1;Enero - Septiembre;2022
54;Norte de Santander;54172;Chinácota;2;Enero - Septiembre;2022
17;Caldas;17174;Chinchiná;8;Enero - Septiembre;2022
23;Córdoba;23182;Chinú;11;Enero - Septiembre;2022
25;Cundinamarca;25178;Chipaque;2;Enero - Septiembre;2022
15;Boyacá;15176;Chiquinquirá;4;Enero - Septiembre;2022
20;Cesar;20178;Chiriguaná;16;Enero - Septiembre;2022
15;Boyacá;15183;Chita;1;Enero - Septiembre;2022
15;Boyacá;15185;Chitaraque;2;Enero - Septiembre;2022
13;Bolívar;13188;Cicuco;1;Enero - Septiembre;2022
47;Magdalena;47189;Ciénaga;59;Enero - Septiembre;2022
23;Córdoba;23189;Ciénaga de Oro;12;Enero - Septiembre;2022
68;Santander;68190;Cimitarra;5;Enero - Septiembre;2022
63;Quindio;63190;Circasia;8;Enero - Septiembre;2022
5;Antioquia;5190;Cisneros;8;Enero - Septiembre;2022
5;Antioquia;5101;Ciudad Bolívar;16;Enero - Septiembre;2022
13;Bolívar;13222;Clemencia;1;Enero - Septiembre;2022
5;Antioquia;5197;Cocorná;4;Enero - Septiembre;2022
73;Tolima;73200;Coello;1;Enero - Septiembre;2022
25;Cundinamarca;25200;Cogua;1;Enero - Septiembre;2022
