div_dpto;departamento;div_mun;municipio;ano;mes;casos;fecha
15;Boyacá;15839;Tutazá;2023;Agosto;0;
5;Antioquia;5001;Medellín;2023;Agosto;0;
5;Antioquia;5001;Medellín;2023;Diciembre;0;
5;Antioquia;5001;Medellín;2023;Noviembre;0;
5;Antioquia;5001;Medellín;2023;Octubre;0;
5;Antioquia;5001;Medellín;2023;Septiembre;0;
5;Antioquia;5002;Abejorral;2023;Agosto;0;
5;Antioquia;5002;Abejorral;2023;Diciembre;0;
5;Antioquia;5002;Abejorral;2023;Noviembre;0;
5;Antioquia;5002;Abejorral;2023;Octubre;0;
5;Antioquia;5002;Abejorral;2023;Septiembre;0;
5;Antioquia;5004;Abriaquí;2023;Agosto;0;
5;Antioquia;5004;Abriaquí;2023;Diciembre;0;
5;Antioquia;5004;Abriaquí;2023;Noviembre;0;
5;Antioquia;5004;Abriaquí;2023;Octubre;0;
5;Antioquia;5004;Abriaquí;2023;Septiembre;0;
5;Antioquia;5021;Alejandría;2023;Agosto;0;
5;Antioquia;5021;Alejandría;2023;Diciembre;0;
5;Antioquia;5021;Alejandría;2023;Noviembre;0;
5;Antioquia;5021;Alejandría;2023;Octubre;0;
5;Antioquia;5021;Alejandría;2023;Septiembre;0;
5;Antioquia;5030;Amagá;2023;Agosto;0;
5;Antioquia;5030;Amagá;2023;Diciembre;0;
5;Antioquia;5030;Amagá;2023;Noviembre;0;
5;Antioquia;5030;Amagá;2023;Octubre;0;
5;Antioquia;5030;Amagá;2023;Septiembre;0;
5;Antioquia;5031;Amalfi;2023;Agosto;0;
5;Antioquia;5031;Amalfi;2023;Diciembre;0;
5;Antioquia;5031;Amalfi;2023;Noviembre;0;
5;Antioquia;5031;Amalfi;2023;Octubre;0;
5;Antioquia;5031;Amalfi;2023;Septiembre;0;
5;Antioquia;5034;Andes;2023;Agosto;0;
5;Antioquia;5034;Andes;2023;Diciembre;0;
5;Antioquia;5034;Andes;2023;Noviembre;0;
5;Antioquia;5034;Andes;2023;Octubre;0;
5;Antioquia;5034;Andes;2023;Septiembre;0;
5;Antioquia;5036;Angelópolis;2023;Agosto;0;
5;Antioquia;5036;Angelópolis;2023;Diciembre;0;
5;Antioquia;5036;Angelópolis;2023;Noviembre;0;
5;Antioquia;5036;Angelópolis;2023;Octubre;0;
5;Antioquia;5036;Angelópolis;2023;Septiembre;0;
5;Antioquia;5038;Angostura;2023;Agosto;0;
5;Antioquia;5038;Angostura;2023;Diciembre;0;
5;Antioquia;5038;Angostura;2023;Noviembre;0;
5;Antioquia;5038;Angostura;2023;Octubre;0;
5;Antioquia;5038;Angostura;2023;Septiembre;0;
5;Antioquia;5040;Anorí;2023;Agosto;0;
5;Antioquia;5040;Anorí;2023;Diciembre;0;
5;Antioquia;5040;Anorí;2023;Noviembre;0;
5;Antioquia;5040;Anorí;2023;Octubre;0;
5;Antioquia;5040;Anorí;2023;Septiembre;0;
5;Antioquia;5042;Santafé de Antioquia;2023;Agosto;0;
