div_dpto;departamento;div_mun;municipio;ano;mes;area_geo;proy;casos;tasa;porcentaje;mun_dep
5;Antioquia;5001;Medellín;2022;Abril;Total;2612958;29;1.1098532773967282;2.555066079295154;Medellín - Antioquia
5;Antioquia;5001;Medellín;2022;Agosto;Total;2612958;23;0.880228461383612;2.117863720073665;Medellín - Antioquia
5;Antioquia;5001;Medellín;2022;Diciembre;Total;2612958;28;1.0715824747278755;2.3255813953488373;Medellín - Antioquia
5;Antioquia;5001;Medellín;2022;Enero;Total;2612958;25;0.9567700667213174;2.1514629948364887;Medellín - Antioquia
5;Antioquia;5001;Medellín;2022;Febrero;Total;2612958;29;1.1098532773967282;2.8019323671497585;Medellín - Antioquia
5;Antioquia;5001;Medellín;2022;Julio;Total;2612958;30;1.1481240800655808;2.508361204013378;Medellín - Antioquia
5;Antioquia;5001;Medellín;2022;Junio;Total;2612958;35;1.3394780934098443;3.391472868217054;Medellín - Antioquia
5;Antioquia;5001;Medellín;2022;Marzo;Total;2612958;35;1.3394780934098443;3.234750462107209;Medellín - Antioquia
5;Antioquia;5001;Medellín;2022;Mayo;Total;2612958;36;1.377748896078697;3.0560271646859083;Medellín - Antioquia
5;Antioquia;5001;Medellín;2022;Noviembre;Total;2612958;34;1.3012072907409917;3.1192660550458715;Medellín - Antioquia
5;Antioquia;5001;Medellín;2022;Octubre;Total;2612958;31;1.1863948827344335;2.6979982593559617;Medellín - Antioquia
5;Antioquia;5001;Medellín;2022;Septiembre;Total;2612958;28;1.0715824747278755;2.5617566331198534;Medellín - Antioquia
5;Antioquia;5001;Medellín;2023;Abril;Total;2653729;25;0.9420705731444319;2.4177949709864603;Medellín - Antioquia
5;Antioquia;5001;Medellín;2023;Enero;Total;2653729;28;1.0551190419217638;2.5454545454545454;Medellín - Antioquia
5;Antioquia;5001;Medellín;2023;Febrero;Total;2653729;27;1.0174362189959865;2.7835051546391756;Medellín - Antioquia
5;Antioquia;5001;Medellín;2023;Julio;Total;2653729;30;1.1304846877733181;2.497918401332223;Medellín - Antioquia
5;Antioquia;5001;Medellín;2023;Junio;Total;2653729;29;1.0928018648475408;2.559576345984113;Medellín - Antioquia
5;Antioquia;5001;Medellín;2023;Marzo;Total;2653729;36;1.3565816253279819;3.35195530726257;Medellín - Antioquia
5;Antioquia;5001;Medellín;2023;Mayo;Total;2653729;24;0.9043877502186546;2.146690518783542;Medellín - Antioquia
5;Antioquia;5002;Abejorral;2022;Julio;Total;20920;1;4.780114722753346;0.08361204013377926;Abejorral - Antioquia
5;Antioquia;5002;Abejorral;2022;Marzo;Total;20920;1;4.780114722753346;0.09242144177449169;Abejorral - Antioquia
5;Antioquia;5002;Abejorral;2022;Noviembre;Total;20920;1;4.780114722753346;0.09174311926605505;Abejorral - Antioquia
5;Antioquia;5002;Abejorral;2022;Septiembre;Total;20920;1;4.780114722753346;0.09149130832570906;Abejorral - Antioquia
5;Antioquia;5002;Abejorral;2023;Abril;Total;21246;1;4.706768332862657;0.09671179883945842;Abejorral - Antioquia
5;Antioquia;5002;Abejorral;2023;Febrero;Total;21246;2;9.413536665725314;0.2061855670103093;Abejorral - Antioquia
5;Antioquia;5002;Abejorral;2023;Julio;Total;21246;2;9.413536665725314;0.16652789342214822;Abejorral - Antioquia
5;Antioquia;5002;Abejorral;2023;Marzo;Total;21246;1;4.706768332862657;0.0931098696461825;Abejorral - Antioquia
5;Antioquia;5021;Alejandría;2023;Enero;Total;4920;1;20.32520325203252;0.09090909090909091;Alejandría - Antioquia
5;Antioquia;5030;Amagá;2022;Agosto;Total;32259;1;3.0999101026070246;0.09208103130755065;Amagá - Antioquia
5;Antioquia;5030;Amagá;2022;Enero;Total;32259;1;3.0999101026070246;0.08605851979345956;Amagá - Antioquia
5;Antioquia;5030;Amagá;2022;Junio;Total;32259;1;3.0999101026070246;0.09689922480620156;Amagá - Antioquia
5;Antioquia;5030;Amagá;2022;Marzo;Total;32259;2;6.199820205214049;0.18484288354898337;Amagá - Antioquia
5;Antioquia;5030;Amagá;2022;Noviembre;Total;32259;1;3.0999101026070246;0.09174311926605505;Amagá - Antioquia
5;Antioquia;5030;Amagá;2022;Septiembre;Total;32259;2;6.199820205214049;0.18298261665141813;Amagá - Antioquia
5;Antioquia;5030;Amagá;2023;Enero;Total;32762;3;9.156950125144986;0.27272727272727276;Amagá - Antioquia
5;Antioquia;5030;Amagá;2023;Junio;Total;32762;3;9.156950125144986;0.264783759929391;Amagá - Antioquia
5;Antioquia;5030;Amagá;2023;Marzo;Total;32762;2;6.104633416763323;0.186219739292365;Amagá - Antioquia
5;Antioquia;5030;Amagá;2023;Mayo;Total;32762;2;6.104633416763323;0.17889087656529518;Amagá - Antioquia
5;Antioquia;5031;Amalfi;2022;Abril;Total;27921;1;3.581533612692955;0.0881057268722467;Amalfi - Antioquia
5;Antioquia;5031;Amalfi;2022;Agosto;Total;27921;1;3.581533612692955;0.09208103130755065;Amalfi - Antioquia
5;Antioquia;5031;Amalfi;2022;Diciembre;Total;27921;1;3.581533612692955;0.08305647840531562;Amalfi - Antioquia
5;Antioquia;5031;Amalfi;2022;Enero;Total;27921;2;7.16306722538591;0.17211703958691912;Amalfi - Antioquia
5;Antioquia;5031;Amalfi;2022;Febrero;Total;27921;1;3.581533612692955;0.0966183574879227;Amalfi - Antioquia
5;Antioquia;5031;Amalfi;2022;Julio;Total;27921;1;3.581533612692955;0.08361204013377926;Amalfi - Antioquia
5;Antioquia;5031;Amalfi;2022;Junio;Total;27921;1;3.581533612692955;0.09689922480620156;Amalfi - Antioquia
5;Antioquia;5031;Amalfi;2022;Mayo;Total;27921;2;7.16306722538591;0.1697792869269949;Amalfi - Antioquia
5;Antioquia;5031;Amalfi;2022;Octubre;Total;27921;3;10.744600838078865;0.26109660574412535;Amalfi - Antioquia
5;Antioquia;5031;Amalfi;2023;Febrero;Total;28357;1;3.526466128292838;0.10309278350515465;Amalfi - Antioquia
5;Antioquia;5031;Amalfi;2023;Julio;Total;28357;1;3.526466128292838;0.08326394671107411;Amalfi - Antioquia
5;Antioquia;5031;Amalfi;2023;Mayo;Total;28357;3;10.579398384878514;0.26833631484794274;Amalfi - Antioquia
5;Antioquia;5034;Andes;2022;Abril;Total;45577;1;2.1940891239002127;0.0881057268722467;Andes - Antioquia
