div_dpto;departamento;div_mun;municipio;casos;mes;ano;prueba;CambioCasos;CambioPor;Indicador;población;PDET;CATEGORIA
99;Vichada;99773;Cumaribo;3;Enero - Septiembre;2023;99773-Enero - Septiembre-2023;-1.0;-25.0;MENOR;80837;N/A;4
99;Vichada;99773;Cumaribo;4;Enero - Septiembre;2022;99773-Enero - Septiembre-2022;F;F;MAYOR;80837;N/A;4
99;Vichada;99624;Santa Rosalía;1;Enero - Septiembre;2023;99624-Enero - Septiembre-2023;1.0;100.0;MAYOR;4297;N/A;6
99;Vichada;99624;Santa Rosalía;0;Enero - Septiembre;2022;99624-Enero - Septiembre-2022;F;F;MAYOR;4297;N/A;6
99;Vichada;99524;La Primavera;1;Enero - Septiembre;2023;99524-Enero - Septiembre-2023;0.0;0.0;IGUAL;9846;N/A;6
99;Vichada;99524;La Primavera;1;Enero - Septiembre;2022;99524-Enero - Septiembre-2022;F;F;MAYOR;9846;N/A;6
99;Vichada;99001;Puerto Carreño;6;Enero - Septiembre;2023;99001-Enero - Septiembre-2023;-2.0;-25.0;MENOR;20798;N/A;6
99;Vichada;99001;Puerto Carreño;8;Enero - Septiembre;2022;99001-Enero - Septiembre-2022;F;F;MAYOR;20798;N/A;6
97;Vaupés;97889;Yavaraté (CD);0;Enero - Septiembre;2023;97889-Enero - Septiembre-2023;0.0;0.0;IGUAL;1211;N/A;null
97;Vaupés;97889;Yavaraté (CD);0;Enero - Septiembre;2022;97889-Enero - Septiembre-2022;F;F;MAYOR;1211;N/A;null
97;Vaupés;97777;Papunahua (CD);0;Enero - Septiembre;2023;97777-Enero - Septiembre-2023;0.0;0.0;IGUAL;857;N/A;null
97;Vaupés;97777;Papunahua (CD);0;Enero - Septiembre;2022;97777-Enero - Septiembre-2022;F;F;MAYOR;857;N/A;null
97;Vaupés;97666;Taraira;0;Enero - Septiembre;2023;97666-Enero - Septiembre-2023;0.0;0.0;IGUAL;2647;N/A;6
97;Vaupés;97666;Taraira;0;Enero - Septiembre;2022;97666-Enero - Septiembre-2022;F;F;MAYOR;2647;N/A;6
97;Vaupés;97511;Pacoa (CD);0;Enero - Septiembre;2023;97511-Enero - Septiembre-2023;0.0;0.0;IGUAL;4881;N/A;null
97;Vaupés;97511;Pacoa (CD);0;Enero - Septiembre;2022;97511-Enero - Septiembre-2022;F;F;MAYOR;4881;N/A;null
97;Vaupés;97161;Carurú;0;Enero - Septiembre;2023;97161-Enero - Septiembre-2023;-1.0;-100.0;MENOR;3498;N/A;6
97;Vaupés;97161;Carurú;1;Enero - Septiembre;2022;97161-Enero - Septiembre-2022;F;F;MAYOR;3498;N/A;6
97;Vaupés;97001;Mitú;0;Enero - Septiembre;2023;97001-Enero - Septiembre-2023;-2.0;-100.0;MENOR;35838;N/A;6
97;Vaupés;97001;Mitú;2;Enero - Septiembre;2022;97001-Enero - Septiembre-2022;F;F;MAYOR;35838;N/A;6
