div_dpto;departamento;div_mun;municipio;ano;mes;area_geo;proy;casos;tasa;porcentaje;mun_dep;concat;CambioCasos;CambioPor;Indicador;PDET;CATEGORIA
99;Vichada;99773;Cumaribo;2023;Septiembre;Total;81651;1;1.2247247431139852;0.0884955752212389;Cumaribo-Vichada;99773-Septiembre-2023;1.0;100.0;MAYOR;N/A;4
99;Vichada;99773;Cumaribo;2022;Septiembre;Total;80837;0;0.0;0.0;Cumaribo-Vichada;99773-Septiembre-2022;F;F;MAYOR;N/A;4
99;Vichada;99773;Cumaribo;2023;Octubre;Total;81651;0;0.0;;Cumaribo-Vichada;99773-Octubre-2023;0.0;0.0;IGUAL;N/A;4
99;Vichada;99773;Cumaribo;2022;Octubre;Total;80837;0;0.0;0.0;Cumaribo-Vichada;99773-Octubre-2022;F;F;MAYOR;N/A;4
99;Vichada;99773;Cumaribo;2023;Noviembre;Total;81651;0;0.0;;Cumaribo-Vichada;99773-Noviembre-2023;-1.0;-100.0;MENOR;N/A;4
99;Vichada;99773;Cumaribo;2022;Noviembre;Total;80837;1;1.237057288123013;0.091743119266055;Cumaribo-Vichada;99773-Noviembre-2022;F;F;MAYOR;N/A;4
99;Vichada;99773;Cumaribo;2023;Mayo;Total;81651;0;0.0;0.0;Cumaribo-Vichada;99773-Mayo-2023;-1.0;-100.0;MENOR;N/A;4
99;Vichada;99773;Cumaribo;2022;Mayo;Total;80837;1;1.237057288123013;0.0848896434634974;Cumaribo-Vichada;99773-Mayo-2022;F;F;MAYOR;N/A;4
99;Vichada;99773;Cumaribo;2023;Marzo;Total;81651;0;0.0;0.0;Cumaribo-Vichada;99773-Marzo-2023;0.0;0.0;IGUAL;N/A;4
99;Vichada;99773;Cumaribo;2022;Marzo;Total;80837;0;0.0;0.0;Cumaribo-Vichada;99773-Marzo-2022;F;F;MAYOR;N/A;4
99;Vichada;99773;Cumaribo;2023;Junio;Total;81651;0;0.0;0.0;Cumaribo-Vichada;99773-Junio-2023;0.0;0.0;IGUAL;N/A;4
